type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,89fee145-6dcc-46d1-8c6f-9eab038284a2,ACTIVE,2024-04-03T14:22:23Z,2024-04-01T19:06:29Z,70,31000,51.323992,12.400302,20,LEIPZIG,371092,ninebot_g3,395IIC,True,escooter,False,False
vehicle,be6d2fb4-04d8-4148-8b55-8a3910f7e4ce,ACTIVE,2024-04-03T15:53:50Z,2024-04-02T21:07:47Z,91,42000,51.324022,12.400168,20,LEIPZIG,371093,ninebot_g3,398IIC,True,escooter,False,False
vehicle,73176f29-ea01-4516-a8df-0a5195de840e,ACTIVE,2024-04-03T16:26:41Z,2024-04-01T21:58:19Z,87,40000,51.363882,12.402504,20,LEIPZIG,371237,ninebot_g3,146IIC,True,escooter,False,False
vehicle,ac1e7df1-3919-4e7c-8715-71744d62bd1f,ACTIVE,2024-04-03T15:10:35Z,2024-04-02T23:30:04Z,82,37000,51.311713,12.372797,20,LEIPZIG,371318,ninebot_g3,062IIC,True,escooter,False,False
vehicle,6b1d58b3-9e5a-4a60-8d85-2e94986fba68,ACTIVE,2024-04-03T16:25:15Z,2024-04-02T21:19:11Z,86,40000,51.33231,12.339029,20,LEIPZIG,371885,ninebot_g3,100IIC,True,escooter,False,False
vehicle,009d9114-3d31-4f2b-a4dd-ab93216991c3,ACTIVE,2024-04-03T15:55:08Z,2024-04-02T22:40:26Z,73,32000,51.367022,12.345665,20,LEIPZIG,371915,ninebot_g3,372IIC,True,escooter,False,False
vehicle,4a0fe9cf-b0fa-42c1-bd10-1abe1654f1b2,ACTIVE,2024-04-03T16:00:27Z,2024-03-25T21:09:31Z,33,10000,51.368429,12.386464,20,LEIPZIG,372010,ninebot_g3,059IIC,True,escooter,False,False
vehicle,b7e02088-be02-4419-b62d-72a9360fc966,ACTIVE,2024-04-03T16:08:20Z,2024-04-03T01:27:25Z,91,42000,51.320679,12.404882,20,LEIPZIG,372060,ninebot_g3,125IIC,True,escooter,False,False
vehicle,b7d9efc9-f638-441d-b842-7354f54bd83a,ACTIVE,2024-04-03T16:09:05Z,2024-04-03T00:14:35Z,92,43000,51.35082,12.346986,20,LEIPZIG,372072,ninebot_g3,025IIC,True,escooter,False,False
vehicle,4a54b78f-ad53-4da6-8164-63aa74ea41a3,ACTIVE,2024-04-03T16:21:43Z,2024-04-02T04:09:54Z,31,9000,51.343788,12.428656,20,LEIPZIG,372168,ninebot_g3,375IIC,True,escooter,False,False
vehicle,668591f1-cbee-4ca1-a192-28649a28dfbf,ACTIVE,2024-04-03T16:23:43Z,2024-03-23T06:26:27Z,24,6000,51.380825,12.383301,20,LEIPZIG,372297,ninebot_g3,207IIC,True,escooter,False,False
vehicle,20fb35cb-cded-43e6-bceb-6c1be275a14b,ACTIVE,2024-04-03T16:41:48Z,2024-04-02T23:48:35Z,52,21000,51.314773,12.287603,20,LEIPZIG,372855,ninebot_g3,035IIC,True,escooter,False,False
vehicle,0a034d7b-b22b-41cd-adf9-7a5dca9bb81d,ACTIVE,2024-01-23T06:14:51Z,2024-03-28T21:30:04Z,31,9000,51.3252045,12.437278,20,LEIPZIG,372857,ninebot_g3,458IIC,True,escooter,False,False
vehicle,385d4164-5489-46a9-a035-a575195bf7d6,ACTIVE,2024-04-03T16:22:37Z,2024-03-27T01:27:46Z,29,8000,51.316768,12.378129,20,LEIPZIG,372869,ninebot_g3,116IIC,True,escooter,False,False
vehicle,b8a6016d-8dbe-447e-8d86-859c8acf8529,ACTIVE,2024-04-03T14:37:45Z,2024-04-02T21:03:06Z,89,41000,51.324027,12.400297,20,LEIPZIG,372876,ninebot_g3,066IIC,True,escooter,False,False
vehicle,689a42a7-0eed-497d-94be-0ae14b00b612,ACTIVE,2024-04-03T13:51:59Z,2024-03-31T20:40:25Z,32,10000,51.302874,12.426426,20,LEIPZIG,372878,ninebot_g3,088IIC,True,escooter,False,False
vehicle,b4da5865-8e81-45e5-9464-534e7d758e4e,ACTIVE,2024-04-03T16:03:58Z,2024-03-29T21:11:52Z,27,7000,51.30119,12.395641,20,LEIPZIG,372880,ninebot_g3,261IIC,True,escooter,False,False
vehicle,f1a4b141-a362-43f5-b79e-eb51b292c85b,ACTIVE,2024-04-03T16:15:53Z,2024-04-01T21:40:19Z,88,41000,51.343629,12.428377,20,LEIPZIG,372894,ninebot_g3,347IIC,True,escooter,False,False
vehicle,5de01271-bb33-4e61-9bc2-3b16be115168,ACTIVE,2024-04-03T15:07:37Z,2024-04-01T21:12:55Z,88,41000,51.315219,12.409689,20,LEIPZIG,372899,ninebot_g3,115IIC,True,escooter,False,False
vehicle,aeb201a6-7927-4a4e-bf24-841830e0c63d,ACTIVE,2024-04-03T15:27:52Z,2024-04-02T00:57:11Z,42,15000,51.36395,12.402596,20,LEIPZIG,372923,ninebot_g3,264IIC,True,escooter,False,False
vehicle,c9b54f81-bc68-4a7b-bf62-897a40f58728,ACTIVE,2024-04-03T16:22:58Z,2024-03-31T01:09:48Z,67,29000,51.316705,12.378059,20,LEIPZIG,372929,ninebot_g3,493IIC,True,escooter,False,False
